recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
air fryer chicken strip,air fryer recipe,air fryer main dish recipe,use air fryer chicken tender change life forever always leave smiling wanting cheer recipe made glutenfree couple simple substitution,2 pound boneless chicken breast,slice chicken breast 1inch strip lengthwise place shallow pan whisk pickle juice milk liquid smoke together pour chicken place chicken refrigerator marinate 30 minute meanwhile whisk egg ranch dressing together shallow bowl place 1 flour separate shallow bowl whisk remaining 1 flour breadcrumb paprika white pepper garlic salt confectioner sugar thyme basil oregano celery salt black pepper dry mustard ginger chili powder salt together third shallow bowl preheat air fryer 350 degree f 175 degree c drain chicken strip thoroughly dry paper towel dredge chicken strip flour dip strip egg mixture letting excess drip back bowl drop chicken strip 1 time breadcrumb mixture coat thoroughly lay strip single layer without touching air fryer basket may work batch thoroughly spray coconut oil air fry 6 minute turn chicken spray coconut oil continue air fry juice run clear chicken longer pink center 6 minute instant read thermometer inserted near center read least 165 degree f 74 degree c repeat remaining chicken piece,1,8
air fryer italian sausage,air fryer recipe,air fryer main dish recipe,method cooking italian sausage air fryer much howto recipe cook 4 sausage time temperature like top mine giardiniera,2 hot dog bun 2 italian sausage link,preheat air fryer 400 degree f 200 degree c place bun fryer basket cook 2 minute transfer plate place sausage link fryer basket cook 6 minute using tongs flip link cook browned 4 minute instantread thermometer inserted center read 160 degree f 70 degree c transfer bun,2,3
air fryer brat,air fryer recipe,air fryer main dish recipe,forget weather cooking outside air fryer brat there reason fire grill get crispy brat juicy tender perfect texture air fryer like hoagie bun german mustard sauerkraut,cooking spray 4 uncooked bratwurst 4 sausage bun,preheat air fryer 380 degree f 193 degree c spray fryer basket cooking spray use air fryer disposable parchment liner place brat air fryer basket sure overcrowd leaving room around cook browned flipping halfway cooking time 12 15 minute instantread thermometer inserted near center read least 160 degree f 70 degree c,3,2
air fryer waffle egg hole,air fryer recipe,air fryer main dish recipe,classic egg hole made inside waffle sweet buttery flavor added crunch,1 frozen waffle 1 large large salt pepper taste 2 cheese maple syrup taste,preheat air fryer 350 degree f 175 degree c cut hole center frozen waffle using rim glass 2 3 inch diameter move waffle square parchment paper carefully place parchment paper preheated air fryer along small center waffle crack egg directly center waffle hole season salt pepper taste close lid cook white egg started set 5 6 minute remove small center waffle air fryer sprinkle cheese onto egg waffle cook cheese melted egg white completely set 1 2 minute transfer egg waffle onto plate drizzle maple syrup serve immediately,5,5
air fryer pork tenderloin,air fryer recipe,air fryer main dish recipe,use air fryer cook pork tenderloin much faster oven,1 chili powder 2 kosher salt 1 12 smoked paprika 1 garlic powder 1 onion powder 1 dried oregano 14 black pepper 14 crushed red pepper 1 1 12 lb pork tenderloin trimmed 1 olive oil cooking spray 1 honey,stir together chili powder salt smoked paprika garlic powder onion powder dried oregano black pepper crushed red pepper small bowl evenly combined place pork cutting board coat olive oil rub spice mix entire tenderloin evenly coated lightly coat air fryer basket cooking spray place tenderloin basket diagonal angle tenderloin lay flat straight basket cook 400 degree f 200 degree c 5 minute reduce temperature 325 degree f 165 degree c continue cook instantread thermometer inserted center read least 140 degree f 60 degree c 12 15 minute remove basket let stand internal temperature reach 145 degree f 63 degree c 5 minute cut 34inch slice place serving platter drizzle honey serve immediately,12,6
tiktoks air fryer shrimp,air fryer recipe,air fryer main dish recipe,seven minute air fryer take get craveworthy air fryer shrimp popularized tiktok,12 ounce large shrimp peeled deveined 2 extravirgin olive oil u00bc smoked paprika 2 unsalted butter melted 2 cajun seasoning,preheat air fryer 375u00b0f pat shrimp clean paper towel dry toss olive oil paprika medium bowl lightly brush air fryer basket oil add half shrimp spreading even layer cook 7 minute repeat remaining half combine butter seasoning large bowl add shrimp toss coat,5,3
tiktoks air fryer garlic butter steak bite,air fryer recipe,air fryer main dish recipe,think steak couldnt get better use air fryer,1 1 pound sirloin cut 1 inch cube 1 canola oil u00bc kosher salt u215b black pepper u00bc unsalted butter melted 2 worcestershire sauce 1 garlic powder 2 fresh chive,preheat air fryer 400u00b0f 5 minute toss steak oil salt pepper medium bowl lightly brush air fryer basket oil add steak spreading even layer cook 7 minute combine butter worcestershire sauce garlic powder large bowl add steak toss coat serve chive,8,4
tiktoks air fryer pizza,air fryer recipe,air fryer main dish recipe,10minute recipe thats perfect lunch dinner anything,2 flour tortilla 6 inch 1 extravirgin olive oil 2 pizza sauce divided u00bd mozzarella cheese divided u00bc sliced pepperoni u215b dried oregano,preheat air fryer 400u00b0f brush one side tortilla lightly olive oil sure get way edge spread 1 sauce middle one tortilla top u00bc cheese cover second tortilla repeat remaining sauce cheese top pepperoni oregano lightly brush air fryer basket remaining olive oil transfer pizza air fryer basket cook 6 minute carefully remove pizza spatula let cool slightly slicing,6,5
easy air fryer whole chicken,air fryer recipe,air fryer main dish recipe,using air fryer cook whole chicken way go youll end super crispy skin side even white meat stay tender juicy dont skip resting step allows juice absorb back meat,2 olive oil 2 u00bd italian seasoning 2 u00bd poultry seasoning 2 paprika 2 salt 1 5 pound whole chicken giblet removed,gather ingredient preheat air fryer 360 degree f 180 degree c according manufacturer instruction whisk olive oil italian seasoning poultry seasoning paprika salt together small bowl pat chicken dry using paper towel brush spice mixture entire chicken including underneath wing place chicken basket air fryer breast side cook undisturbed 45 minute carefully flip chicken using tongs cook instantread thermometer read 165 degree f 74 degree c 20 minute remove chicken cutting board let rest 10 minute,6,5
quick air fryer tilapia,air fryer recipe,air fryer main dish recipe,tilapia mild delicate flavored fish budget friendly take seasoning well perfect busy weeknight handful ingredient cook 7 minute,olive oil cooking spray 2 flour 1 u00bd seafood seasoning old bayu00ae u00be paprika u00bd garlic powder salt freshly black pepper taste 1 pound tilapia fillet thawed frozen 4 lemon slice,preheat air fryer 400 degree f 200 degree c spray air fryer basket olive oil spray line parchment liner whisk flour seafood seasoning paprika garlic powder salt pepper together small bowl remove tilapia filet package pat dry paper towel lightly spray filet olive oil sprinkle flour seasoning filet pressing coat fish turn season side well place filet air fryer basket without overlapping air circulate around filet cook tilapia filet flake easily fork 7 10 minute need flip depending air fryer size might cook batch top filet slice lemon serve hot,8,5
air fryer tilapia,air fryer recipe,air fryer main dish recipe,tilapia cooked air fryer ready minute crusted parmesan cheese come wonderfully moist flavorful serve rice pilaf roasted veggie,u00bd freshly grated parmesan cheese 1 u00bd paprika 1 garlic powder u00bd salt u00bd freshly black pepper 4 6 ounce tilapia fillet thawed frozen cooking spray 1 fresh parsley optional 4 lemon wedge optional,preheat air fryer 400 degree f 200 degree c combine parmesan cheese paprika garlic powder salt pepper bowl pat tilapia filet dry paper towel spritz side cooking spray press side filet parmesan mixture shake excess spray cooking spray place basket air fryer cook fish flake easily fork 6 8 minute may need cook fish 2 batch depending size air fryer sprinkle parsley serve lemon wedge,9,5
air fryer pork tenderloin sweet potato,air fryer recipe,air fryer main dish recipe,pork tenderloin sweet potato make great main dish family add green vegetable salad menu complete,u00bc olive oil plus greasing u00bd pineapple preserve u00bd granulated garlic u00bd cayenne pepper 1 salt taste u00bd freshly white pepper taste 1 u00bd pound sweet potato cut 1inch piece 2 u00bd pound pork tenderloin,preheat air fryer 390 degree f 200 degree c recommended manufacturer combine olive oil pineapple preserve garlic granule cayenne salt white pepper large mixing bowl stir combine place sweet potato piece mixing bowl toss pineapple preserve mixture remove sweet potato plate reserving remaining pineapple mixture pat tenderloin dry paper towel place mixing bowl remaining pineapple mixture toss coat brush interior basket air fryer remaining olive oil place tenderloin basket single layer add many sweet potato piece fit around tenderloin set aside extra sweet potato piece cook second batch air fry 10 minute turn tenderloin browned side stir sweet potato keep single layer air fry pork loin slightly pink center 10 minute longer instantread thermometer inserted center read least 145 degree f 63 degree c tenderloin need cooking time turn continue cooking testing temperature 5 minute increment remove sweet potato air fryer tender caramelized see cook note tenderloin test done place platter tent foil allow rest remaining sweet potato cook 10 minute,8,8
air fryer frozen chicken strip,air fryer recipe,air fryer main dish recipe,classic finger food enjoy dipping sauce comeback sauce site sliced theyre also tasty salad topper air fryer great job cooking frozen food need thaw perfect weeknight meal table 12 minute,25 ounce frozen cooked breaded crispy chicken strip tysonu00ae,set air fryer temperature 380 degree f 180 degree c place frozen chicken strip air fryer basket without touching overcrowding cook crispy 11 12 minute color change much may cook batch depending size air fryer cooking time may vary depending brand size air fryer remove air fryer serve immediately,1,4
air fryer pizza,air fryer recipe,air fryer main dish recipe,enjoy pizza way thats magic making personal pan pizza recipe make two airfried pizza easy make customize sky limit choice topping,olive oil cooking spray 1 138 ounce package refrigerated pizza dough pillsburyu00ae 6 pizza sauce divided 10 ounce mozzarella cheese divided 14 slice pepperoni divided u00bd onion slice divided optional sprinkle dried basil red pepper flake optional,preheat air fryer 5 minute 380 degree f 190 degree c spray air fryer basket olive oil spray line parchment liner avoid sticking remove crust cut half shape piece dough circle crimping edge form crust make sure itll fit air fryer basket carefully transfer one pizza crust air fryer basket spray lightly olive oil spray prick dough fork precook 3 minute spread 3 pizza sauce onto crust air fryer basket sprinkle 12 mozzarella cheese top 7 pepperoni slice half onion slice sprinkle basil red pepper flake using cook crust golden brown crispy cheese melted 7 9 minute keep mind cooking time may vary depending brand size air fryer check frequently sure nothing overcooks burn repeat procedure second pizza crust serve hot,7,4
air fryer pretzelcrusted chicken tender,air fryer recipe,air fryer main dish recipe,crunchy chicken tender versatile serve appetizer dip main dish also cut bitesized piece top salad,3 flour u00bc turmeric u00bc freshly black pepper u00bc mustard powder 3 u00bd ounce salted pretzel crushed 1 large egg beaten 1 u00bd pound chicken tenderloin olive oil cooking spray,preheat air fryer 400 degree f 200 degree c recommended manufacturer combine flour turmeric black pepper mustard powder large resealable plastic bag seal bag shake dry ingredient well mixed spread crushed pretzel plate line second plate parchment paper pat chicken tender dry paper towel add bag seasoned flour reseal bag toss tender lightly coated keeping nondominant hand dry dip tender egg shake excess set crushed pretzel using dry hand toss pretzel onto top lightly press crushed pretzel tender place pretzelcoated tender parchmentlined plate spray side olive oil cooking spray add chicken tender preheated air fryer single layer air fry 5 6 minute using tongs carefully turn tender air fry chicken longer pink bone juice run clear 5 6 minute instantread thermometer inserted near bone read 165 degree f 74 degree c serve immediately,8,7
air fryer meatball,air fryer recipe,air fryer main dish recipe,trying air fryer meatball never bake oven inside stay nice tender outside get slight crisp best part make ahead time freeze later use dip meatball marinara desired,16 ounce lean beef 4 ounce pork u00bd grated parmesan cheese u2153 italian seasoned bread crumb 1 large egg 2 clove garlic 1 italian seasoning u00bd salt,preheat air fryer 350 degree f 175 degree c combine beef pork parmesan cheese bread crumb egg garlic italian seasoning salt large bowl mix evenly combined form 16 equal meatball small ice cream scoop helpful place baking sheet place 12 meatball basket air fryer cook 8 minute shake basket cook 2 minute transfer serving plate let rest 5 minute repeat remaining meatball serve warm enjoy,8,5
air fryer chicken leg,air fryer recipe,air fryer main dish recipe,air fryer chicken leg seasoned paprika garlic cook 20 air fryer crispy outside juicy inside perfect quick easy fussfree weeknight favorite,12 garlic powder 12 paprika 12 salt 12 freshly black pepper 4 skinon chicken drumstick,preheat air fryer 400 degree f 200 degree c according manufacturer instruction combine garlic powder paprika salt pepper small bowl place drumstick clean work surface sprinkle spice mix evenly side drumstick place drumstick basket air fryer cook 10 minute using tongs flip chicken cook 10 minute rest 5 minute serving instantread thermometer inserted near bone read 165 degree f 74 degree c,5,3
crispy caesar chicken cutlet,air fryer recipe,air fryer main dish recipe,much better salad opinion,1 seasoned crouton 12 seasoned breadcrumb 12 parmesan cheese 2 lemon pepper seasoning 2 dried oregano 1 mustard 34 garlic powder 12 onion powder 14 cayenne pepper 1 caesar dressing 1 whole milk cooking spray 6 4ounce chicken breast cutlet,gather ingredient process crouton food processor finely crumbled 8 pulse prepare dredging station stir together crouton breadcrumb parmesan cheese lemon pepper oregano mustard garlic powder onion powder cayenne shallow bowl whisk together caesar dressing milk smooth separate shallow bowl set aside preheat air fryer 390 degree f 2 minute 200 degree c lightly coat air fryer basket cooking spray working 1 cutlet time fully submerge cutlet dressing mixture shaking excess dredge cutlet crouton mixture pressing firmly evenly coated side place plate even layer working batch add 2 cutlet basket one even layer cook golden brown cooked 10 12 minute flipping halfway transfer serving platter repeat remaining cutlet serve additional parmesan cheese dressing,13,7
air fryer chicken nugget,air fryer recipe,air fryer main dish recipe,homemade chicken nugget made air fryer come perfectly crunchy outside tender juicy inside 15 minute,1 buttermilk 2 pound chicken tenderloin cut nugget size 1 flour 3 grated parmesan cheese 1 paprika 1 parsley flake 1 salt 1 black pepper 2 large egg 2 panko bread crumb cooking spray,gather ingredient mix buttermilk chicken large bowl set aside soak prepare seasoned flour combine flour parmesan cheese paprika parsley salt pepper large bowl beat egg separate bowl pour panko bread crumb onto flat plate dredge chicken nugget first flour beaten egg finally coat bread crumb preheat air fryer 400 degree f 200 degree c spray basket cooking spray place many nugget basket without overcrowding lightly mist top nugget cooking spray cook 10 minute flip chicken nugget cook additional 2 minute remove repeat remaining nugget enjoy,11,7
air fryer honeymustard chicken thigh,air fryer recipe,air fryer main dish recipe,air fryer honeymustard chicken thigh prove simple chicken recipe dont boring jazz chicken thigh tasty smoky honeymustard sauce like served mixed vegetable caesar salad quick easy dinner,4 boneless skinless chicken thigh 12 onion powder 12 garlic powder 12 smoked paprika 14 salt taste 14 black pepper taste 2 honey 2 ijon mustard olive oil cooking spray,preheat air fryer 390 degree f 198 degree c recommended manufacturer pat chicken thigh dry paper towel sauce combine onion powder garlic powder smoked paprika salt pepper small bowl stir honey dijon mustard spray one side chicken thigh olive oil spray place oiled side air fryer single layer brush top chicken thigh sauce air fry 390 degree f 198 degree c 8 minute carefully turn chicken thigh brush remaining sauce continue air frying internal temperature chicken reach 165 degree f 74 degree c tested instantread thermometer 6 8 minute serve warm,9,5
air fryer chicken thigh,air fryer recipe,air fryer main dish recipe,air fryer chicken thigh tender juicy delicious crispy skin youll love quick easy chicken thigh recipe ready less 30 minute thanks trusty air fryer,4 skinon boneless chicken thigh 2 extravirgin olive oil 1 smoked paprika u00be garlic powder u00bd salt u00bd black pepper,gather ingredient preheat air fryer 400 degree f 200 degree c pat chicken thigh dry paper towel brush skin olive oil place chicken thigh skinside single layer plate combine smoked paprika garlic powder salt pepper bowl sprinkle 12 seasoning mixture evenly thigh turn thigh evenly sprinkle remaining seasoning arrange thigh skinside single layer air fryer basket cook preheated air fryer thigh brown juice run clear 18 minute instantread thermometer inserted center read least 165 degree f 74 degree c serve enjoy,6,5
air fryer meatloaf,air fryer recipe,air fryer main dish recipe,juicy air fryer meatloaf tangy glaze easy make fraction time compared cooking meatloaf oven serve mashed potato comforting meal,14 bread crumb 14 whole milk 1 pound round 8515 12 finely yellow onion 1 large egg lightly beaten 2 fresh thyme plus garnish 1 kosher salt 14 black pepper,gather ingredient preheat air fryer 350 degree f 175 degree c make meatloaf stir breadcrumb milk together medium bowl let sit 5 minute add beef onion egg thyme salt pepper stir combine evenly without overmixing meanwhile form beef mixture 2 3 x 4 12inch rectangle make glaze stir ketchup vinegar brown sugar worcestershire sauce together small bowl set aside spray air fryer basket generously cooking spray line parchment paper easier clean add meatloaf basket spray generously cooking spray roast preheated air fryer nicely browned 20 25 minute brushing evenly ketchup mixture 18 minute cooking instantread thermometer inserted center read least 155 degree f 68 degree c remove meatloaf basket let rest 5 minute garnish thyme leaf serve enjoy,8,6
easy air fryer pork chop,air fryer recipe,air fryer main dish recipe,boneless pork chop cooked perfection air fryer recipe easy couldnt ask tender juicy chop,u00bd grated parmesan cheese 1 paprika 1 garlic powder 1 kosher salt 1 dried parsley u00bd black pepper 4 5ounce boneless pork chop 2 extra virgin olive oil,gather ingredient preheat air fryer 380 degree f 190 degree c combine parmesan cheese paprika garlic powder salt parsley pepper flat shallow dish mix well coat pork chop olive oil dredge side chop parmesan mixture set plate place 2 chop basket air fryer cook 10 minute flipping halfway cook time transfer cutting board let rest 5 minute repeat remaining chop served hot enjoy,8,5
air fryer turkey breast,air fryer recipe,air fryer main dish recipe,juicy air fryer turkey breast flavor roast turkey much less time much less fuss dont want time hassle whole bird thanksgiving try turkey breast cooked perfection air fryer,1 finely fresh rosemary 1 finely fresh chive 1 finely fresh garlic u00bd salt taste u00bc black pepper taste 2 cold unsalted butter 2 u00be pound skinon bonein split turkey breast,preheat air fryer 350 degree f 175 degree c place rosemary chive garlic salt pepper onto cutting board cut butter thin slice top herb seasoning mash well blended pat turkey breast dry rub herbed butter side skin place turkey air fryer basket skinside air fry 20 minute turn turkey skinside carefully continue frying instantread thermometer inserted near bone read 165 degree f 74 degree c 18 minute transfer platter tent aluminum foil allow rest 10 minute slice serve warm,7,5
air fryer baked potato,air fryer recipe,air fryer main dish recipe,baked potato air fryer come beautifully crusty outside light fluffy inside great baked potato serve favorite topping like sour cream butter chive,2 large russet potato scrubbed 1 peanut oil u00bd coarse sea salt,gather ingredient preheat air fryer 400 degree f 200 degree c brush potato peanut oil sprinkle salt place air fryer basket cook potato tender pierced fork 1 hour serve enjoy,3,3
air fryer sausage patty,air fryer recipe,air fryer main dish recipe,air fryer sausage patty nicely browned best part avoid grease splatter stovetop,1 12 ounce package sausage patty johnsonvilleu00ae 1 serving nonstick cooking spray,grab ingredient preheat air fryer 400 degree f 200 degree c lightly grease inside air fryer basket nonstick spray arrange sausage patty single layer air fryer basket cook preheated air fryer 5 minute flip patty cook 3 minute instantread thermometer inserted center patty read least 160 degree f 70 degree c serve hot enjoy,2,4
air fryer tilapia fresh lemon pepper,air fryer recipe,air fryer main dish recipe,cook tilapia air fryer fresh lemon pepper kick flavor although fish low carb light wont sacrificing flavor,4 6 ounce tilapia fillet 2 lemon zest 2 olive oil 2 clove garlic 1 u00bd coarsely black peppercorn u00bd salt 1 pinch paprika taste cooking spray 1 sprig parsley taste 4 wedge lemon,preheat air fryer 400 degree f 200 degree c 3 minute meanwhile rinse tilapia fillet pat dry paper towel mix together lemon zest olive oil garlic pepper salt small bowl well combined rub top fillet sprinkle lightly paprika lightly coat air fryer basket cooking spray arrange fillet evenly basket spiceside crowd needed cook batch cook preheated air fryer fish flake easily fork 7 10 minute remove fillet plate garnish parsley serve lemon wedge,10,4
air fryer lobster tail lemongarlic butter,air fryer recipe,air fryer main dish recipe,air fry lobster tail elegant meal two home come succulent meaty delicious lemony garlic butter parsley,2 4 ounce lobster tail 4 butter 1 lemon zest 1 clove garlic grated salt black pepper taste 1 fresh parsley 2 wedge lemon,gather ingredient preheat air fryer 380 degree f 195 degree c butterfly lobster tail cutting lengthwise center hard top shell meat kitchen shear cut bottom shell spread tail half apart place tail air fryer basket lobster meat facing melt butter small saucepan medium heat add lemon zest garlic heat garlic fragrant 30 second transfer 2 butter mixture small bowl brush onto lobster tail discard remaining brushed butter avoid contamination uncooked lobster season lobster salt pepper cook preheated air fryer lobster meat opaque 5 7 minute spoon reserved butter saucepan lobster meat top parsley serve lemon wedge,7,7
air fryer chicken cordon bleu,air fryer recipe,air fryer main dish recipe,crispy air fryer chicken cordon bleu stuffed ham melty cheese serve steamed vegetable complete satisfying meal,2 boneless skinless chicken breast salt black pepper taste 1 dijon mustard 4 slice deli swiss cheese 4 slice deli ham 2 toothpick u00bc flour 1 egg beaten 1 panko bread crumb u2153 grated parmesan cheese cooking spray,gather ingredient place chicken breast flat work surface slice horizontally middle careful cut way side open 2 side spread like open book place chicken breast 2 sheet heavy plastic solid level surface lightly pound smooth side meat mallet 14inch thickness repeat remaining chicken breast season chicken breast salt pepper spread dijon mustard top place 1 slice cheese breast top 2 slice ham 1 slice cheese roll breast secure toothpick place flour shallow bowl place egg second bowl mix panko bread crumb grated parmesan third bowl preheat air fryer 350 degree f 175 degree c meanwhile dredge chicken breast flour shake excess dip beaten egg allowing excess egg drip back bowl press bread crumb mixture coat side place breaded chicken breast onto plate spray nonstick spray let sit 5 minute air fryer preheats arrange breaded chicken single layer air fryer basket cook preheated air fryer 10 minute flip chicken breast spray dry spot nonstick spray cook chicken longer pink center 8 minute instantread thermometer inserted center read least 165 degree f 74 degree c,11,6
crumbed chicken tenderloin air fried,air fryer recipe,air fryer main dish recipe,air fryer chicken tenderloin beat chicken nugget day recipe simple tend use chicken tenderloin use sliced chicken breast easier,1 large egg u00bd dry bread crumb 2 vegetable oil 8 chicken tenderloin,gather ingredient preheat air fryer 350 degree f 175 degree c whisk egg small bowl mix bread crumb oil together second bowl mixture becomes loose crumbly dip chicken tenderloin bowl egg shake residual egg dip chicken crumb mixture making sure evenly fully covered lay chicken tenderloin air fryer basket even layer airfry longer pink center 12 minute instantread thermometer inserted center read least 165 degree f 74 degree c serve hot enjoy,4,8
air fryer ribeye steak,air fryer recipe,air fryer main dish recipe,easy airfry steak air fryer definitely rival steak cooked grill marinate ribeyes morning leave work cook night,2 ribeye steak cut 1 12 inch thick u00bd reducedsodium soy sauce u00bc olive oil 4 grill seasoning montreal steak seasoningu00ae,combine steak soy sauce olive oil seasoning large resealable bag marinate meat least 2 hour remove steak bag discard marinade pat excess oil steak add 1 water bottom air fryer pan prevent smoking cooking preheat air fryer 400 degree f 200 degree c cook steak preheated air fryer 7 minute flip cook 7 minute mediumrare medium cook 8 minute per side let steak sit 5 minute serving,4,5
air fryer chicken katsu homemade katsu sauce,air fryer recipe,air fryer main dish recipe,air fryer chicken katsu crispy outside tender juicy inside sauce little bit sweet little bit tangy complement chicken perfectly serve rice desired,u00bd ketchup 2 soy sauce 1 brown sugar 1 sherry 2 worcestershire sauce 1 garlic,gather ingredient prepare sauce whisk ketchup soy sauce brown sugar sherry worcestershire sauce garlic together bowl sugar dissolved set katsu sauce aside preheat air fryer 350 degree f 175 degree c meanwhile lay chicken piece clean work surface season salt pepper place beaten egg flat dish shallow bowl pour bread crumb second flat dish dredge chicken piece egg bread crumb repeat dredging chicken egg bread crumb pressing bread crumb stick chicken place chicken piece basket preheated air fryer spray top nonstick cooking spray air fry 10 minute flip chicken piece using spatula spray top nonstick cooking spray cook 8 minute transfer chicken cutting board slice serve katsu sauce serve katsu sauce enjoy,6,7
air fryer scotch egg,air fryer recipe,air fryer main dish recipe,air fryer scotch egg easy make plus get deliciousness without mess added fat deepfrying make perfect breakfast brunch snack especially served mango chutney dipping sauce cook egg liking either hardboiled slightly soft cant go wrong,3 greek yogurt 2 mango chutney pataksu00ae 1 mayonnaise u215b salt u215b pepper u215b curry powder u215b cayenne pepper optional,make dipping sauce combine yogurt chutney mayonnaise salt pepper curry powder cayenne small bowl refrigerate ready use make scotch egg divide pork sausage 6 even portion flatten portion thin patty place 1 hardboiled egg middle patty wrap sausage around egg sealing side set aside preheat air fryer 390 degree f 200 degree c place flour small bowl beaten egg another small bowl panko plate dip sausagewrapped egg flour dip beaten egg letting excess drip roll panko place plate spray air fryer basket cooking spray arrange egg basket single layer without overcrowding cook batch necessary cook preheated air fryer 12 minute turning egg halfway repeat remaining egg serve dipping sauce,7,6
air fryer rotisserie chicken,air fryer recipe,air fryer main dish recipe,air fryer rotisserie chicken moist perfectly seasoned really easy make,1 sea salt 2 paprika 1 onion powder 1 thyme 1 white pepper u00bd black pepper u00bd cayenne pepper u00bd garlic powder 3 vegetable oil divided 1 4 pound whole fryer chicken giblet removed,preheat air fryer 350 degree f 175 degree c according manufacturer instruction mix together salt paprika onion powder thyme white pepper black pepper cayenne garlic powder small bowl rub 1 12 oil chicken 12 spice mixture cook preheated air fryer 30 minute carefully remove chicken fryer flip chicken rub remaining 1 12 oil sprinkle remaining spice mixture return chicken air fryer continue cook longer pink bone juice run clear 30 minute instantread thermometer inserted thickest part thigh near bone read 165 degree f 74 degree c remove chicken air fryer cover doubled sheet aluminum foil allow rest warm area 10 minute carving,10,6
dry rub air fryer chicken wing,air fryer recipe,air fryer main dish recipe,yummy air fryer chicken wing made sweet spicy memphisstyle dry rub,1 dark brown sugar 1 sweet paprika u00bd kosher salt taste 1 garlic powder 1 onion powder 1 poultry seasoning taste u00bd mustard powder u00bd freshly black pepper 8 chicken wing needed,preheat air fryer 350 degree f 175 degree c meanwhile whisk brown sugar paprika salt garlic powder onion powder poultry seasoning mustard powder pepper together large bowl toss chicken wing rub seasoning chicken hand fully coated arrange wing air fryer basket standing end leaning wall basket cook preheated air fryer wing cooked tender inside golden brown crisp outside 30 35 minute transfer wing plate serve hot,9,5
air fryer chicken tender,air fryer recipe,air fryer main dish recipe,homemade air fryer chicken tender crispy outside tender inside packed full flavor dip ranch favorite dipping sauce,1 flour 1 paprika 1 parsley flake 1 seasoned salt u00bd black pepper 1 large egg 1 u00bd pound chicken tenderloin cooking spray,preheat air fryer 400 degree f 200 degree c according manufacturer instruction meanwhile combine flour paprika parsley seasoned salt pepper large bowl beat egg separate bowl dredge chicken tender seasoned flour dip beaten egg back seasoned flour coat basket cooking spray place many coated chicken tender air fryer basket without overcrowding lightly mist top tender cooking spray cook preheated air fryer 8 minute flip chicken lightly mist top cooking spray continue cooking instantread thermometer inserted center chicken read 165 degree f 74 degree c 7 8 minute repeat remaining chicken tender,8,5
air fryer buttermilk fried chicken,air fryer recipe,air fryer main dish recipe,buttermilk fried chicken air fryer delicious fried chicken without fry,1 u00bd pound boneless skinless chicken thigh 2 buttermilk 1 flour 1 seasoned salt u00bd black pepper 1 panko bread crumb cooking spray,place chicken thigh shallow casserole dish pour buttermilk chicken refrigerate 4 hour overnight preheat air fryer 380 degree f 190 degree c mix flour seasoned salt pepper large gallonsized resealable plastic bag dredge chicken thigh seasoned flour dip back buttermilk coat panko bread crumb spray air fryer basket nonstick cooking spray arrange 12 chicken thigh basket making sure none touching spray top chicken thigh cooking spray cook preheated air fryer 15 minute flip thigh spray top chicken cook chicken longer pink center juice run clear 10 minute instantread thermometer inserted center read least 165 degree f 74 degree c repeat remaining chicken,7,5
breaded air fryer pork chop,air fryer recipe,air fryer main dish recipe,breaded pork chop made air fryer perfectly tender juicy require basic pantry ingredient take 10 minute cook like use misto sprayer oil feel free use regular cooking spray,4 5 ounce boneless centercut pork chop 1inch thick 1 cajun seasoning 1 u00bd cheese garlic crouton 2 large egg cooking spray,preheat air fryer 400 degree f 200 degree c place pork chop plate season side cajun seasoning pulse crouton small food processor fine transfer shallow dish lightly beat egg separate shallow dish working one time dip pork chop beaten egg letting excess drip press crouton breading coat side place breaded chop unstacked onto plate repeat remaining chop mist chop cooking spray spray air fryer basket cooking spray arrange chop single layer air fryer basket may two batch depending size air fryer cook preheated air fryer 5 minute flip chop mist cooking spray dry area cook 5 minute instantread thermometer inserted center chop read 145 degree f 63 degree c serve hot enjoy,5,6
lumpia air fryer,air fryer recipe,air fryer main dish recipe,recipe forlumpiain air fryer result crispiness without deepfry taste bud never know difference waistline,1 pound italian hot sausage link u00bd finely sliced green onion u00bd finely carrot u00bd finely water chestnut u00bc diced onion 2 clove garlic 2 soy sauce u00bd salt u00bc ginger 16 spring roll wrapper avocado oil cooking spray,remove casing sausage cook skillet medium heat slightly browned 4 5 minute add green onion carrot water chestnut onion cook stir onion soft translucent 5 7 minute add garlic cook 1 2 minute season soy sauce salt ginger stir filling well combined remove heat lay spring roll wrapper angle place scant 14 filling center wrapper fold bottom corner filling tuck side form roll use finger lightly moisten edge water repeat remaining wrapper filling mist roll avocado oil cooking spray preheat air fryer 390 degree f 198 degree c place lumpia roll air fryer basket making sure touching cook batch necessary fry 4 minute flip cook skin crispy 4 minute,11,4
